,result
3,1
9,1
10,1
16,1
17,1
25,1
29,1
30,1
31,1
44,1
52,1
53,1
54,1
59,1
63,1
65,1
66,1
67,1
79,1
86,1
90,1
96,1
100,1
102,1
105,1
106,1
108,1
109,1
110,1
112,1
131,1
133,1
134,1
136,1
139,1
140,1
141,1
146,1
148,1
149,1
150,1
163,1
165,1
166,1
171,1
176,1
177,1
180,1
181,1
184,1
191,1
207,1
214,1
215,1
223,1
224,1
229,1
233,1
238,1
239,1
240,1
241,1
242,1
252,1
265,1
271,1
278,1
279,1
283,1
286,1
287,1
295,1
296,1
298,1
310,1
318,1
319,1
322,1
330,1
347,1
350,1
352,1
367,1
368,1
370,1
375,1
380,1
383,1
389,1
397,1
398,1
401,1
412,1
415,1
418,1
426,1
427,1
429,1
430,1
431,1
437,1
441,1
451,1
452,1
462,1
471,1
472,1
476,1
492,1
495,1
498,1
500,1
516,1
527,1
537,1
538,1
546,1
547,1
553,1
554,1
555,1
559,1
560,1
562,1
565,1
566,1
575,1
580,1
581,1
586,1
587,1
598,1
606,1
607,1
612,1
615,1
616,1
624,1
626,1
628,1
629,1
630,1
635,1
640,1
641,1
653,1
654,1
669,1
670,1
678,1
680,1
686,1
690,1
693,1
698,1
706,1
707,1
708,1
716,1
717,1
718,1
721,1
725,1
726,1
727,1
730,1
737,1
745,1
746,1
756,1
758,1
759,1
766,1
780,1
784,1
785,1
788,1
790,1
795,1
796,1
804,1
805,1
807,1
811,1
812,1
814,1
815,1
816,1
819,1
820,1
830,1
846,1
847,1
855,1
856,1
861,1
862,1
863,1
865,1
866,1
867,1
868,1
872,1
890,1
891,1
892,1
907,0
908,1
911,1
918,1
920,1
934,1
935,1
938,1
942,1
947,1
949,1
953,1
975,1
977,1
983,1
988,1
1001,1
1002,1
1003,1
1004,1
1011,1
1019,1
1020,1
1024,1
1027,1
1037,1
1042,1
1050,1
1051,1
1054,1
1055,1
1058,1
1061,1
1078,1
1080,1
1085,1
1088,1
1101,1
1104,1
1105,1
1110,1
1141,1
1144,1
1145,1
1147,1
1163,1
1164,1
1167,1
1168,1
1170,1
1174,1
1175,1
1184,1
1193,1
1214,1
1222,1
1226,1
1230,1
1237,1
1245,1
1246,1
1247,1
1253,1
1254,1
1259,1
1261,1
1262,1
1265,1
1266,1
1275,1
1276,1
1277,1
1278,1
1282,1
1285,1
1286,1
1288,1
1289,1
1290,1
1291,1
1296,1
1300,1
1308,1
1313,1
1314,1
1316,1
1321,1
1322,1
1332,1
1338,1
1340,1
1341,1
1342,1
1345,1
1347,1
1348,1
1351,1
1352,1
1355,1
1357,1
1359,1
1361,0
1362,1
1368,1
1375,1
1376,1
1377,1
1379,1
1382,1
1383,1
1388,1
1391,1
1398,1
1405,1
1406,1
1408,1
1415,1
1416,1
1417,1
1422,1
1424,1
1426,1
1432,1
1440,1
1445,1
1446,1
1450,1
1451,1
1454,1
1458,1
1459,1
1461,1
1476,1
1478,1
1489,1
1496,1
1497,1
1503,1
1515,1
1516,1
1523,1
1527,1
1530,1
1536,1
1539,1
1540,1
1543,1
1550,1
1560,1
1561,1
1562,1
1583,1
1584,1
1585,1
1599,1
1600,1
1604,1
1605,1
1616,1
1629,1
1638,1
1639,1
1641,1
1647,1
1658,1
1663,1
1664,1
1674,1
1688,1
1696,1
1697,1
1706,1
1728,1
1730,1
1736,1
1738,1
1748,1
1754,1
1765,1
1766,1
1767,1
1768,1
1772,1
1776,1
1778,1
1781,1
1785,1
1790,1
1791,1
1792,1
1796,1
1799,1
1800,1
1808,1
1811,1
1821,1
1833,1
1851,1
1852,1
1854,1
1855,1
1856,1
1859,1
1865,1
1872,1
1873,1
1874,1
1877,1
1882,1
1884,1
1885,1
